-22099.96174623957	-818114.8779741323	-657943.7554244546
-699568.714534241	528996	-575465
293052	-619261	-575381.7317664991
-203645	-120595.16591061011	-950894.9377663811
-158915	795241	-526051
915309	-608909	598038.7383574506
-815017	-541287.6770602928	-57344
-14648	724958	358563
-433974	-201238.24314075336	142670
740301	169128.09061416402	-577204
358347.66263539507	-517586.6587566609	-438316
973340.5220252546	996226	-737190.2621322024
-174379	491361	751696
716773	547328.3993606654	130464
107998.73512552609	-796388	-840099
907115	579731.4883529167	800449.8670178449
82805	164561	-443227
-419978	-703337.4805522326	529803.5486529539
-952769	875126.6402949975	737205
699588.1070360995	-376469.9958853723	205537.6595334136
-646011.1769060646	805065	-575737.0866218444
842755	-994799	-186992.3596240593
-614168.9541564597	171529	392728
356842	854745	-138086
-823056	130930.94286050275	523636
-917789	-792113.1383689591	-975422
-769827	-26637	-91851.87626338156
778298.6247779098	611640	-58401
442322.23517551273	779096	-60559
92623.34709925135	-994060	-387206.87213890103
-997957	-340816	-669017.3193416804
-197080	-13647.053862248897	-177821.2548552571
619327	-79125.02880470385	391455.17446231376
-998137.2526509182	59136.7559502942	-252698
411736.24033233826	-396387	-838502.2324916958
369500	803787	-334115.8635920496
-435921.3058558997	-967739.577264699	-906874
142660	-969149.3101961288	740154
-910332	143251	92979
-755156.4841658436	-641450	-89686.58597984188
-186515.27561878797	563108	785621
99689.8719438347	-246149.64928045357	-223923
853882	-361742	-5572.341332619893
587036	-75544.6028758313	-774369
897787	650009.2427857709	-319609
824423.2421464818	762136	881368.1032051826
-244965.74193580623	-958057	-222099
365982	-637163	334645.1525153995
261012.21967400424	477667	966195
921585.9859584002	666608.4989574777	-947373
-170092	712676	961537.0802066138
-599121	417367.0677850847	964139
582720.0155556877	-419835.1557094087	241913
293392.0572145616	475856.98254352226	701547
116184	-80497.04845335986	-971857.5493262678
-672950	156464	158187.0287530364
964892	851404.5739638174	-650823.1229182682
121456.00473199645	250638.14658596762	-721173
866688	-92901	258775.70751065016
867782.4091800067	558206.145330016	-422771
-963310.11304212	-262368	-682773
-982193	560575	-304753
729291	612669.2814462136	410497.16688856063
-381465.9709511694	311534.276123323	271376.54830839974
161829.23843069142	223168	949735
493636.9246988662	530732	-801275
664090.6007281626	167302	-894070
737647.9294643116	-810354	892190.8878828324
-265544	-311144.8280952533	-711678.1182274972
655709	641506.3203224556	-567668
-147976	-163332.77112629532	-823834.8815501828
-877260	-214527.79360712145	935913.4662167886
460500.2104891022	409216	350654.7907984662
-674540	-352486	281694.9260266037
634668.3646351662	444163.0920657979	-594321
835117	-417572	-358878
694878.0978298346	403208.3413497342	-774919.9845712569
843966.6668073726	836515.9191643905	230561
-188161.97180747846	-519080	78385.0261401243
-53757.367886383436	-99188.6392554018	309374.5990254793
-60244	876765.2766838267	374753
488922.6023602679	-116413.97594867554	211396
794362	-327053	326868
-445843	-941088.2636428713	-651959.8382981546
-433921	510839	110878.51167032658
-679842.7856348024	-560340.728892494	-506736
-874955	-988179.4820652616	404942
-991814	-605529	-818931.4132832089
610822	878724.3500929754	-516768.86139319424
298095.4932657201	-408914	-443864
925945	164726	-215392
-405259	543555	969693
-532294	-62688.902815031004	-740236
800321.3599861192	-118019.7348237877	-323442
-779519.6696460374	57930	283234.56654583523
57474.26912423037	-923714	-979014
899163	-647698.0262093046	-344290.1721911065
-786746.2510826609	917782.5890199507	-286902
265601	-557511.4806988416	92614.43126203399
797682.5433530959	-580480.5154159109	801927
603377.5433924794	924062	629672.7023054643
-682267	83061	974415.8666113608
-305006.37857381045	-708412.1005987156	973616.5034094686
799857	-939579.700884093	-249403.8164585448
573813	-95683	-775111.4799657195
453557.48038780177	476335	685069.6716647474
-83153	527097.2455578432	936359
399464.1293613014	-26402.326424552943	-419564.11833881633
-685124	269294.76168439793	807662.3423014402
351958.8924051556	70601.54898297461	63873.479052516166
-174472	-631573	-599943.9717140435
882592	-524116.3459160341	852890.6466808058
778027.4752360182	-644449	-173490
425007	894541	849882
638316.7244935844	727183.9116872998	788437
-960532.5785947735	-131042	265304
-164672	-197115.57397481578	627532
300888.3157082584	275748	427334
-175428	314579.4661351149	-655151.5775849659
129836	83234.84881453309	-231335
81193	317691.02652090765	-15359.78886207263
-869331.3945869758	660041.2864721324	289342
749554.9717869498	-208997.47743306612	595758
-827929	-23627	623053
918967	-573190	667298
98809.73940060078	-465867.1864303043	949378
491231.3897354088	-100998	674208.4965308236
736338.7620754451	816508.9347220787	412403
-725529.3855759087	631468	-361392.99236066756
-639854.3816359595	142655.80690223048	536129.0911631624
848049.9257560468	492715.83420714317	900361
-238159	-866025.5911990328	-75294.12161714723
-215810.37223238498	881570	-613412.5371917272
407712.9227151016	175482.59178962256	-732461.5098740152
133166.41085072258	99511.12986076437	-812970.1577862375
374041	-232002	-746634.4979370993
899664.4409111158	205737.5512709946	-388456.98600802734
-517954	675887.9820029072	-370092.0976530373
166037.87350881356	-774433.7637526158	972178
432051	-877895.5751608578	457330
584610	651727	-265149.6949380374
254354	749793.2040969229	-606718.8107148744
-990954	51221.75371346157	550233.6340921323
-119682.08063450514	814351.4497513559	886355.8323962751
-70127.7458073541	853496.3325912186	-478376.8056584652
717617.2464263062	145340	-129903.41758780868
-32197	-362420	16033.831522008986
-375069	916771.7189619441	-942268.7006386912
414932.37893062644	-10000	399421.08073997777
509231	-323524	747173.6321584696
-942834	742339	-540327
-560881.3638337733	-927194	-218186.6200372493
-901313.6030183	-398868	-731759.1867783356
459117	-52709.68059490563	-476158
-666983.9786798686	331720.5708218536	-158094
-634116	688211.6755095925	87244.77179170167
-889560	568360	-879940.6018844565
547999	-511136	-373641
-288907.50388404913	-776362	526501
231173	-100160.48810266459	-300892.35476348025
-267921.52944526216	989002.5502309464	890579.0154900728
256093.2687696449	-387180.62284165295	581493.124511796
-803311	-21932	-318967
8492.722551596235	739648.6723146685	485558.6175838653
-171185.51883595565	-621673	498344
678582	-313657.99598742544	-504376.369876137
752941	202150	-216141
-666731	-879614	-808653.1504577432
731283.8714837637	-109332.80810880847	-878222.9960450765
342678.51896025776	645531	463110
-566057.2667026473	254400.94922116166	-307308.3449181053
-349972.31740145374	-188655	193476.64704001136
379564.81601062417	-934177	-657737
-879527.5290651119	822304.4569557274	835383.6897550195
754491.0234855744	658758.1394797638	371424.60309350654
-403132	691931.581663741	-81973.07226532779
-908035	-718445	-638705.7982960814
89028.42763315304	688297	608431.8205709588
88086	-183710	333141.8438860087
580473	-187948.11530363397	-290950
-738916	-448593	-880582
-538075	870168	-414912.9694598905
86867.7878818214	727331	-155326.36333932134
-726949.1853787064	-241356.55835509824	348789.7343871065
-853026.463797381	616580	-821235
88050	-442611	996475
90335.05749855004	264541	-559253
-447943	-462877	-208853
925779	-494684	735720.3361235717
208196	74252	250865
14503.591346981935	297134.30786922993	919014.1652099807
700872	-879864	55414
385573.81553294975	-285534.81900684256	-725901.6043763016
-46952	-893552.3100272118	-397849
-374311	124274.85519584455	-56605
-155529	-170375	225248.13513350417
275935.3363259607	-934290	823308
927436.8986755966	455658	-747395
-252144	-381955	901328
-130644	792554	-270326.31579087814
638946.8189357698	-508583	915824
241410	-375244	692947.5199777992
267553	-563153	-456927.84939706186
-571832	-482761.0324681102	-861653
-429863	-896061	13105.12596452923
854226	-188053	-535715
489984	-768178.1093786762	31658
-873522.8316555033	-248799	901145.5590175034
-113839	910465	-825749.3551157918
404666.14914168394	-964287	90266.4291229921
-795015.3096243064	-153748.91361630347	259817.8341125683
774252	-161209.62298994686	-541837.7166222204
873736	150705.19115934032	880011
-405904.97473859414	-65174	100225.75238838443
-401294	724739.1294600721	267460.49953391263
839209.5450014777	315213	-109008
-753887	826973	968429.7502979564
-799824.0141249013	385312	-173569
4752.385414468823	635066.492382467	412478.8087608651
264817	-223417.62072831474	812126.170335978
-553231	-206717	940505.0120887258
168159	610704.0172185164	510124
-532230	-121034	-172063.6576326997
353343	722628	-101333.86125514377
566342	-769525.2573246611	-996674.6410373301
-202856.1200857499	-554875	75123
-991311	897682.816520633	470301.36824299465
565352.3100230959	-932142.1366033305	-366623
-449738	-383125.6765692121	617227
-492240	-256300.4297828962	-60381.291675577755
-390773	175272	367934.0926182291
724881.264401511	606796.3518651617	-496106.58258616034
488150.304391318	185617.04078396223	663219.4885194243
-433386.43025982776	876821	758624.5466834255
-425787.7702603423	401739.23110156646	873204
937813	936820.0687793321	972552
-914021.72144678	-650607	693925
59740	-542646.5923523973	293332
227272	846653	-213997
485282.98368002847	710082.9924793798	486361
120034.25938764354	353316.33911086083	764001.122980789
158190	-715215.1287730724	816689
639858.4120914931	-699299	-318137
-826384	491949	-245024
940139.0713044784	-859364	791816
517496	44732.690849347506	-670072.3601254602
-558147.0679436555	229713.4440582539	-196402.34119593364
-555737	620646	-136392
-127030.4656859414	540123	64971.97824283433
-628913.0565300554	348880	524922.8001056337
978070.6453101139	506172.49149778835	428261.9828693406
-782912.356785666	460982	205219.49856699794
965004.2996644406	-899987.0149140059	-343057.2079598957
-334844.91390137386	-513527	-381011.43467271875
-763963.6253666402	-277944.8434611389	660086
-127158.18059835618	349423	326317.1165963644
472474.4812954031	-569306	661059.881331905
29340.503696840373	410537	-610550
722654	51155.117087377934	-188951
561875	319654.97559239645	110563
305077.9658203821	529482.3547846952	-812146
-754262.7440803902	-736013.499427601	419010
-658634	-759668	588450
249043.47729510115	303018.1030534967	-441427.4886920828
294808	-794273	-857683
-684864.4069049561	-208407	996675.7508797869
-464923.6133921995	-286081	41166
943962.783009086	797348.7677247622	322060.777677207
-828877.2125841494	403905.1086761898	485500
-260263	149250.26518613193	-656791.4655524679
-932605.6513850312	-462048.1164617747	-87516.88265900384
221776.34759369446	986394.5105008429	530844
-43015.23684021237	993226	-457684
-485687.73178806744	-935342.5072699332	-122453.63280597446
-583252	381728.9703421688	-822277.2325839474
397171.2916303661	-579059.7818178844	46011
-935276	-758486	-940010
-249013.9456071545	58976	-295123
-622781	774638	-825378.2415833189
-790101	-40748.113002450555	-964614
608727	-536495.8083074649	96336.83080888912
-380423	-60144.15449497942	-624785
-327249	-820270	-129143
-847446.751094688	-676781	469145.25308406935
366114.08612037264	894855.8231763309	-981238.48105376
-573104.8656828041	693594.0597027179	-239268.23109543754
-173910	-202306	-301309
274665.6532844361	288068.06096960604	-12986.193278019782
