-899296.7832398125	816876.5045695503	545408	969742.6530680736	-469815.10331608285	484721	565917.2255334682	-65028	-903209.6537389853	-679044
-682752	581652.4780350628	349080	-179606	-585654.0843960973	-431083.37263071816	-426851.5283649741	-272655	295134	614525.4878580535
910390	808695	-451597.3211369517	-925387.2766082945	770789.5339245375	-105771.63391661213	607939	-833938	803797.8338044516	-633581.5680787633
331379.8395259287	-172083.62718668475	-941645.0932178377	-988419.9870592598	212411	-429950.58408403874	-814186	-604249	103585	32630
841866	-247773.9181800203	-721489	187384	-888694.4809400293	-789497.9861436484	-897267.7308545338	778207	-812536	-247778
-341587	674944	-695444	647998	979196	-807711.8367153013	94299	-421270	-634163.4035905419	-263974.6096794846
704470	94533	742743.8391434385	581229	-97470.2947162718	-571899.9381172673	644065.5827658626	-780839	252006.93693998596	-33069.98101611214
-161989.40428894176	778934	806535	285756.4239658534	-881373	-120721.429770877	649707	-306204.2715747962	898158	-668190
154191	-529213	46375	-916294.5199817796	-41361	730262.9555288071	-719249	680184	972586	-337116.66185646027
-290288.6664843543	-538202	222077	421176	-558407.0652139328	482702	698822	510139	-235385	-495636.42298374133
921843	-850312.829932627	690312	-161649	374200	-807478.0998997848	138516.91255114856	-253299.16686052247	360806	839884
494834	-806765.9636522287	-392139	358388	198469.80538826808	276517	12157.32109283295	-150511.35183639848	-307968	660350
727830	314950.11753716785	-476333.1978330461	-783359.7006787199	109742	523120.43095810595	900972	49658	129771	-503694.44503841264
833678	-927193	-775494	-638553.7258244292	888473	712527.8125052322	-531685.1810231578	-107351.93973323319	208932	-737029.4902301664
-999823.6125912927	-872015.320276448	926150	993002	-401135	839461	-202309	-242749	398628.48198280926	857007
-165304.95964198397	-138544.07863156765	752463.7225956642	335614.29711475456	-922030	105664	-660363.1542577189	714544.9507637394	404714.02970179264	-865339
180808	539328	352043	389990	-18021.24432921561	-155215.29424565146	-793279	-578813.6026242952	361583	749900
515974	-952152	706189.1268762203	-507230.43495034514	263601.83640842466	476453.2663617993	-324093	578691.733350856	864025	656053.6182926369
714983.357040219	-499506	-276348.0351232131	541071.9427339423	-930670	72848.5650306018	208108.34065316617	256849	746914.952623894	685044
109982.33898527548	-665652	687091.3096397698	912376	178558.63859328534	499917.8659806575	-271656.1927446703	-953957	756622	751894.1949688813
60527	-657979.3160539751	804069	-899976.0303093886	-523929	730301	311380	240424	-721057	608906.1152404496
850921	261447.0999263858	-356531.9345362701	-207374	-144061.78981447208	611103.4084410176	-688313	21719	847936	787697
-748660	482385.26414997596	-291110	784591	-449319.6151312513	-558584.4817056766	742399.9977009033	112954	397244.08291904815	590743.7192570411
-330689.6441459581	-918420.3297281455	-271666.6994678114	-358041.11740069813	-636338	-664676	-836801	708828	-52215.62373432703	948739.3939649807
-729022.8098514476	-286900.15907288017	-286184.2111280493	1479.6280548374634	-535602	970450.326580089	808166	-668836.0268486091	-593001.0849537419	905549.0131737725
649647.6882793112	600933.2064442006	52757	145769	715888	297984.9841886186	-557568.3699489555	-977157.6709473003	434089.6285419662	782262
-364948.31053633953	-877182	992570	423145	-66751	-512316	490835.17380173155	618710	-761371	-26448.08107510046
-800077	35296	120430	456641	-30030.300119440886	233319.39258516487	378147.4697100115	-931988.8829701082	473994	-846499
-130668.41821021133	-497491	-23119.18395456462	-520800	978583	-685173.622432083	-461793.57874203194	-701202.963040225	243709.74423866672	-621346.2034621511
3192	14152	40471.18347700022	708627	903216.5864472792	372272	701848	-624546	728553	-135400
609329	768114	-75306.28454300703	-703457	-608296	535437	435914.2663661996	-948272	-731715.5537754614	474238.96762636676
-547489	872860.0192310414	767781	4201.220026148716	-59794.100978156435	920407.5454150364	283429.87631487125	244316	-274287.6635754659	-126752
-40460.3690821646	677336.4309135408	-612943.0035191511	666064	772700	-315311.07821915776	-612260	-350016.6682716422	-912269	94595.09652152099
-172950	732650.161442935	-284618.2964636978	541713.7435649543	523885.531399427	-919934.623068245	-371342	-205168	887181	-628097.4855057353
18691	-292946.0496638827	95037	698039	-756864	337254	171205.41431513173	-922327.7811009482	767258.2367798167	-243463.24971290794
-419568	539407	-425208.3435537026	-656656.42323197	-361964	-650131.4753495478	-146819.60116107878	-703901	-451161.71497891156	-226211
-533635.2007993406	-133782.3539409344	-741736.3759704627	364589.2870983789	-114008.75316266611	-683595.9420820448	-39163.232076172135	-543456	-348429.2956551616	-144862.51610540762
290366.4314806212	-956518.1596182544	159735.5105338872	272956.01359248813	593030.4279952329	497551	-78688	615125	-935357	384920
-612321.8591334703	-272742	-59969.23007049388	377994	920426	-782063	-589658	517911.170350716	-504715	93314
